"filename", "language", "JavaScript", "HTML", "JSON", "CSS", "XML", "comment", "blank", "total"
"e:\Workspace\Project-laptop-shop\client\src\trash\RoutesSection.js", "JavaScript", 17, 0, 0, 0, 0, 0, 6, 23
"e:\Workspace\Project-laptop-shop\client\src\trash\ServiceCard.js", "JavaScript", 10, 0, 0, 0, 0, 0, 3, 13
"e:\Workspace\Project-laptop-shop\client\src\trash\SignInUp.js", "JavaScript", 0, 0, 0, 0, 0, 34, 7, 41
"e:\Workspace\Project-laptop-shop\client\src\trash\SplashWrapper.js", "JavaScript", 47, 0, 0, 0, 0, 6, 9, 62
"e:\Workspace\Project-laptop-shop\client\src\trash\Tabs.js", "JavaScript", 34, 0, 0, 0, 0, 0, 2, 36
"e:\Workspace\Project-laptop-shop\client\src\trash\particlesjs-config.json", "JSON", 0, 0, 110, 0, 0, 0, 1, 111
"e:\Workspace\Project-laptop-shop\client\src\trash\trans.js", "JavaScript", 796, 0, 0, 0, 0, 29, 59, 884
"e:\Workspace\Project-laptop-shop\client\src\utils\activityUtils.js", "JavaScript", 67, 0, 0, 0, 0, 12, 12, 91
"e:\Workspace\Project-laptop-shop\client\src\utils\auth.js", "JavaScript", 388, 0, 0, 0, 0, 96, 99, 583
"e:\Workspace\Project-laptop-shop\client\src\utils\cookieUtils.js", "JavaScript", 36, 0, 0, 0, 0, 9, 4, 49
